table,version,action,package,visibility,source,note
ADG_DETAIL,v5.2,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
AGGREGATE_DISPATCH_GROUP,v5.2,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
ANCILLARY_RECOVERY_SPLIT,v5.3,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
APEVENTREGION,v5.2,MODIFIED,FORCE_MAJEURE,,upgrade-report,
AREA,v5.6,ADDED,,,ddl,
AREA,v5.6,ADDED,MARKET_CONFIG,Public,upgrade-report,
AUCTION_IC_ALLOCATIONS,v4.29,MODIFIED,IRAUCTION,,upgrade-report,
AVERAGEPRICE30,v5.0,MODIFIED,TRADING_DATA,,upgrade-report,
BIDDAYOFFER,v5.0,MODIFIED,BIDS,,upgrade-report,
BIDDAYOFFER,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDDAYOFFER,v5.3,RENAMED_FROM,,,sp_rename,-> BIDDAYOFFER_PRE53
BIDDAYOFFER_D,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDDAYOFFER_D,v5.3,RENAMED_FROM,,,sp_rename,-> BIDDAYOFFER_D_PRE53
BIDDAYOFFER_D,v5.3_PreRelease,RENAMED_FROM,,,sp_rename,-> BIDDAYOFFER_D_PRE53
BIDDAYOFFER_D_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDDAYOFFER_D
BIDDAYOFFER_D_PRE53,v5.3_PreRelease,RENAMED_TO,,,sp_rename,<- BIDDAYOFFER_D
BIDDAYOFFER_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDDAYOFFER
BIDOFFERFILETRK,v5.0,MODIFIED,BIDS,,upgrade-report,
BIDOFFERFILETRK,v5.1,MODIFIED,BIDS,,upgrade-report,
BIDOFFERPERIOD,v5.0,MODIFIED,BIDS,,upgrade-report,
BIDOFFERPERIOD,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDOFFERPERIOD,v5.3,RENAMED_FROM,,,sp_rename,-> BIDOFFERPERIOD_PRE53
BIDOFFERPERIOD,v5.5,MODIFIED,BIDS,Private & Public,upgrade-report,
BIDOFFERPERIOD_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDOFFERPERIOD
BIDPEROFFER_D,v5.3,MODIFIED,BIDS,,upgrade-report,
BIDPEROFFER_D,v5.3,RENAMED_FROM,,,sp_rename,-> BIDPEROFFER_D_PRE53
BIDPEROFFER_D,v5.3_PreRelease,RENAMED_FROM,,,sp_rename,-> BIDPEROFFER_D_PRE53
BIDPEROFFER_D,v5.6,MODIFIED,,Public,upgrade-report,
BIDPEROFFER_D_PRE53,v5.3,RENAMED_TO,,,sp_rename,<- BIDPEROFFER_D
BIDPEROFFER_D_PRE53,v5.3_PreRelease,RENAMED_TO,,,sp_rename,<- BIDPEROFFER_D
BILLINGASPAYMENTS,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGASRECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGASRECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGASRECOVERY,v5.5,MODIFIED,BILLING_RUN,Private,upgrade-report,
BILLINGCPDATA,v5.0,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGCPDATA,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGIRPARTSURPLUSSUM,v4.29,MODIFIED,BILLING_RUN,,upgrade-report,
BILLINGREGIONFIGURES,v5.1,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_APC_COMPENSATION,v4.26,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_APC_RECOVERY,v4.26,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_APC_RECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DAILY_ENERGY_SUMMARY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIRECTION_RECON_OTHER,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_FINAL_AMOUNT,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_FINAL_RECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_PROV_AMOUNT,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_PROV_RECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_DIR_RECOVERY_DETAIL,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_EFTSHORTFALL_AMOUNT,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_EFTSHORTFALL_DETAIL,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_ENERGY_GENSET_DETAIL,v5.3,ADDED,,,ddl,
BILLING_ENERGY_GENSET_DETAIL,v5.3,ADDED,BILLING_RUN,,upgrade-report,
BILLING_ENERGY_TRANSACTIONS,v5.3,ADDED,,,ddl,
BILLING_ENERGY_TRANSACTIONS,v5.3,ADDED,BILLING_RUN,,upgrade-report,
BILLING_ENERGY_TRAN_SAPS,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_FCAS_REG_AMT,v5.5,ADDED,,,ddl,
BILLING_FCAS_REG_AMT,v5.5,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_FCAS_REG_RESIDAMT,v5.5,ADDED,,,ddl,
BILLING_FCAS_REG_RESIDAMT,v5.5,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_FPP,v5.5,ADDED,,,ddl,
BILLING_FPP,v5.5,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_MANUAL_PAYMENT,v5.6,ADDED,,,ddl,
BILLING_NMAS_MANUAL_PAYMENT,v5.6,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_MANUAL_RECOVERY,v5.6,ADDED,,,ddl,
BILLING_NMAS_MANUAL_RECOVERY,v5.6,ADDED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_TST_PAYMENTS,v5.5,MODIFIED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_TST_RECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_NMAS_TST_RECOVERY,v5.5,MODIFIED,BILLING_RUN,Private,upgrade-report,
BILLING_NMAS_TST_RECVRY_TRK,v5.5,MODIFIED,BILLING_RUN,Public,upgrade-report,
BILLING_SECDEPOSIT_APPLICATION,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_SECDEP_INTEREST_PAY,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_SECDEP_INTEREST_RATE,v4.27,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_SUBST_DEMAND,v5.1,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_SUBST_RUN_VERSION,v5.1,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_WDR,v5.1,MODIFIED,BILLING_RUN,,upgrade-report,
BILLING_WDR_DETAIL,v5.1,MODIFIED,BILLING_RUN,,upgrade-report,
BILLRESERVETRADERPAYMENT,v5.0,MODIFIED,BILLING_RUN,,upgrade-report,
BILLRESERVETRADERRECOVERY,v5.0,MODIFIED,BILLING_RUN,,upgrade-report,
BILLRESERVETRADERRECOVERY,v5.2,MODIFIED,BILLING_RUN,,upgrade-report,
BILLRESERVETRADERRECOVERY,v5.3,MODIFIED,BILLING_RUN,,upgrade-report,
CONTRACTLOADSHED,v5.5,MODIFIED,ANCILLARY_SERVICES,Private,upgrade-report,
CONTRACTREACTIVEPOWER,v5.5,MODIFIED,ANCILLARY_SERVICES,Private,upgrade-report,
DAYTRACK,v5.0,MODIFIED,SETTLEMENT_DATA,,upgrade-report,
DAYTRACK,v5.5,MODIFIED,SETTLEMENT_DATA,Public,upgrade-report,
DAYTRACK,v5.6,MODIFIED,SETTLEMENT_DATA,Public,upgrade-report,
DEMANDOPERATIONALACTUAL,v5.0,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
DEMANDOPERATIONALACTUAL,v5.1,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
DISPATCHABLEUNIT,v5.3,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
DISPATCHLOAD,v5.1,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHLOAD,v5.2,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHLOAD,v5.3,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHLOAD,v5.5,MODIFIED,DISPATCH,Private & Public,upgrade-report,
DISPATCHLOAD,v5.6,MODIFIED,DISPATCH,Private & Public,upgrade-report,
DISPATCHOFFERTRK,v5.0,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHPRICE,v5.2,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHREGIONSUM,v4.29,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHREGIONSUM,v5.1,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHREGIONSUM,v5.2,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHREGIONSUM,v5.3,MODIFIED,DISPATCH,,upgrade-report,
DISPATCHREGIONSUM,v5.5,MODIFIED,DISPATCH,Public,upgrade-report,
DISPATCH_FCAS_REQ_CONSTRAINT,v5.4,ADDED,,,ddl,
DISPATCH_FCAS_REQ_CONSTRAINT,v5.4,ADDED,DISPATCH,Public,upgrade-report,
DISPATCH_FCAS_REQ_RUN,v5.4,ADDED,,,ddl,
DISPATCH_FCAS_REQ_RUN,v5.4,ADDED,DISPATCH,Public,upgrade-report,
DISPATCH_INTERCONNECTION,v4.27,MODIFIED,DISPATCH,,upgrade-report,
DISPATCH_MNSPBIDTRK,v5.0,MODIFIED,DISPATCH,,upgrade-report,
DISPATCH_ROOFTOP_PV_FCST_TRK,v5.6,ADDED,,,ddl,
DISPATCH_ROOFTOP_PV_FCST_TRK,v5.6,ADDED,DISPATCH,Public,upgrade-report,
DISPATCH_UNIT_CONFORMANCE,v5.2,MODIFIED,DISPATCH,,upgrade-report,
DISPATCH_UNIT_SCADA,v5.4,MODIFIED,DISPATCH,Public,upgrade-report,
DUDETAIL,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
DUDETAIL,v5.2,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
DUDETAIL,v5.3,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
DUDETAIL,v5.4,MODIFIED,PARTICIPANT_REGISTRATION,Public,upgrade-report,
DUDETAILSUMMARY,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
DUDETAILSUMMARY,v5.2,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
DUDETAILSUMMARY,v5.3,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
FCAS_REGU_USAGE_FACTORS,v5.3,ADDED,,,ddl,
FCAS_REGU_USAGE_FACTORS,v5.3,ADDED,MARKET_CONFIG,,upgrade-report,
FCAS_REGU_USAGE_FACTORS_TRK,v5.3,ADDED,,,ddl,
FCAS_REGU_USAGE_FACTORS_TRK,v5.3,ADDED,MARKET_CONFIG,,upgrade-report,
FPP_CONSTRAINT_FREQ_MEASURE,v5.4,ADDED,,,ddl,
FPP_CONSTRAINT_FREQ_MEASURE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_CONTRIBUTION_FACTOR,v5.4,ADDED,,,ddl,
FPP_CONTRIBUTION_FACTOR,v5.4,ADDED,FPP,Private & Public,upgrade-report,
FPP_CONTRIBUTION_FACTOR,v5.5,MODIFIED,FPP,Private & Public,upgrade-report,
FPP_EST_COST,v5.4,ADDED,,,ddl,
FPP_EST_COST,v5.4,ADDED,FPP,Private,upgrade-report,
FPP_EST_PERF_COST_RATE,v5.4,ADDED,,,ddl,
FPP_EST_PERF_COST_RATE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_EST_RESIDUAL_COST_RATE,v5.4,ADDED,,,ddl,
FPP_EST_RESIDUAL_COST_RATE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_FCAS_SUMMARY,v5.4,ADDED,,,ddl,
FPP_FCAS_SUMMARY,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_FCAS_SUMMARY,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_FCAS_SUMMARY,v5.5,MODIFIED,,,sp_rename,column rename: USAGE -> USAGE_VALUE
FPP_FORECAST_DEFAULT_CF,v5.4,ADDED,,,ddl,
FPP_FORECAST_DEFAULT_CF,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_FORECAST_DEFAULT_CF,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_FORECAST_RESIDUAL_DCF,v5.4,ADDED,,,ddl,
FPP_FORECAST_RESIDUAL_DCF,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_HIST_PERFORMANCE,v5.4,ADDED,,,ddl,
FPP_HIST_PERFORMANCE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_HIST_REGION_PERFORMANCE,v5.5,ADDED,,,ddl,
FPP_HIST_REGION_PERFORMANCE,v5.5,ADDED,FPP,Public,upgrade-report,
FPP_P5_FWD_EST_COST,v5.4,ADDED,,,ddl,
FPP_P5_FWD_EST_COST,v5.4,ADDED,FPP,Private,upgrade-report,
FPP_P5_FWD_EST_COST,v5.5,MODIFIED,FPP,Private,upgrade-report,
FPP_P5_FWD_EST_RESIDUALRATE,v5.4,ADDED,,,ddl,
FPP_P5_FWD_EST_RESIDUALRATE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_P5_FWD_EST_RESIDUALRATE,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_PD_FWD_EST_COST,v5.4,ADDED,,,ddl,
FPP_PD_FWD_EST_COST,v5.4,ADDED,FPP,Private,upgrade-report,
FPP_PD_FWD_EST_COST,v5.5,MODIFIED,FPP,Private,upgrade-report,
FPP_PD_FWD_EST_RESIDUALRATE,v5.4,ADDED,,,ddl,
FPP_PD_FWD_EST_RESIDUALRATE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_PD_FWD_EST_RESIDUALRATE,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_PERFORMANCE,v5.4,ADDED,,,ddl,
FPP_PERFORMANCE,v5.4,ADDED,FPP,Private & Public,upgrade-report,
FPP_RCR,v5.4,ADDED,,,ddl,
FPP_RCR,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_REGION_FREQ_MEASURE,v5.4,ADDED,,,ddl,
FPP_REGION_FREQ_MEASURE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_REGION_FREQ_MEASURE,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_RESIDUAL_CF,v5.4,ADDED,,,ddl,
FPP_RESIDUAL_CF,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_RESIDUAL_PERFORMANCE,v5.4,ADDED,,,ddl,
FPP_RESIDUAL_PERFORMANCE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_RUN,v5.4,ADDED,,,ddl,
FPP_RUN,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_RUN,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_UNIT_MW,v5.4,ADDED,,,ddl,
FPP_UNIT_MW,v5.4,ADDED,FPP,Private & Public,upgrade-report,
FPP_UNIT_MW,v5.5,MODIFIED,FPP,Private & Public,upgrade-report,
FPP_USAGE,v5.4,ADDED,,,ddl,
FPP_USAGE,v5.4,ADDED,FPP,Public,upgrade-report,
FPP_USAGE,v5.5,MODIFIED,FPP,Public,upgrade-report,
FPP_USAGE,v5.5,MODIFIED,,,sp_rename,column rename: USAGE -> USAGE_VALUE
GENCONDATA,v4.28,MODIFIED,GENERIC_CONSTRAINT,,upgrade-report,
GENUNITS,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
GENUNITS,v5.3,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
GENUNITS_UNIT,v5.1,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
GENUNITS_UNIT,v5.3,MODIFIED,PARTICIPANT_REGISTRATION,,upgrade-report,
GENUNITS_UNIT,v5.4,MODIFIED,PARTICIPANT_REGISTRATION,Public,upgrade-report,
INTERMITTENT_CLUSTER_AVAIL,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_CLUSTER_AVAIL,v5.1,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_CLUSTER_AVAIL_DAY,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_DS_PRED,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_DS_RUN,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_FORECAST_TRK,v4.28,MODIFIED,DISPATCH,,upgrade-report,
INTERMITTENT_GEN_FCST,v5.6,MODIFIED,DEMAND_FORECASTS,Private,upgrade-report,
INTERMITTENT_GEN_FCST_DATA,v5.2,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_GEN_FCST_DATA,v5.5,MODIFIED,DEMAND_FORECASTS,Private,upgrade-report,
INTERMITTENT_GEN_FCST_DATA,v5.6,MODIFIED,DEMAND_FORECASTS,Private,upgrade-report,
INTERMITTENT_GEN_FCST_P5_PRED,v5.6,ADDED,,,ddl,
INTERMITTENT_GEN_FCST_P5_PRED,v5.6,ADDED,DEMAND_FORECASTS,Private & Public,upgrade-report,
INTERMITTENT_GEN_FCST_P5_RUN,v5.6,ADDED,,,ddl,
INTERMITTENT_GEN_FCST_P5_RUN,v5.6,ADDED,DEMAND_FORECASTS,Private & Public,upgrade-report,
INTERMITTENT_GEN_FCST_PRED,v5.6,ADDED,,,ddl,
INTERMITTENT_GEN_FCST_PRED,v5.6,ADDED,DEMAND_FORECASTS,Private & Public,upgrade-report,
INTERMITTENT_GEN_FCST_RUN,v5.6,ADDED,,,ddl,
INTERMITTENT_GEN_FCST_RUN,v5.6,ADDED,DEMAND_FORECASTS,Private & Public,upgrade-report,
INTERMITTENT_GEN_LIMIT,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_GEN_LIMIT_DAY,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_GEN_SCADA,v5.2,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_GEN_SCADA,v5.4,MODIFIED,DEMAND_FORECASTS,Private & Public,upgrade-report,
INTERMITTENT_P5_PRED,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_P5_PRED,v5.6,MODIFIED,DEMAND_FORECASTS,Private,upgrade-report,
INTERMITTENT_P5_RUN,v4.28,MODIFIED,DEMAND_FORECASTS,,upgrade-report,
INTERMITTENT_P5_RUN,v5.6,MODIFIED,DEMAND_FORECASTS,Private,upgrade-report,
MARKETFEE,v5.3,MODIFIED,SETTLEMENT_CONFIG,,upgrade-report,
MARKET_SUSPEND_REGIME_SUM,v4.27,MODIFIED,FORCE_MAJEURE,,upgrade-report,
MARKET_SUSPEND_REGION_SUM,v4.27,MODIFIED,FORCE_MAJEURE,,upgrade-report,
MARKET_SUSPEND_SCHEDULE,v4.27,MODIFIED,FORCE_MAJEURE,,upgrade-report,
MARKET_SUSPEND_SCHEDULE,v5.2,MODIFIED,FORCE_MAJEURE,,upgrade-report,
MARKET_SUSPEND_SCHEDULE_TRK,v4.27,MODIFIED,FORCE_MAJEURE,,upgrade-report,
METERDATA_SAPS,v5.2,MODIFIED,METER_DATA,,upgrade-report,
METERDATA_WDR_READS,v5.1,MODIFIED,METER_DATA,,upgrade-report,
MNSP_BIDOFFERPERIOD,v5.0,MODIFIED,BIDS,,upgrade-report,
MNSP_BIDOFFERPERIOD,v5.5,MODIFIED,BIDS,Private & Public,upgrade-report,
MNSP_DAYOFFER,v5.0,MODIFIED,BIDS,,upgrade-report,
MTPASA_CASERESULT,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_CONSTRAINTRESULT,v4.27,MODIFIED,MTPASA,,upgrade-report,
MTPASA_CONSTRAINTSUMMARY,v4.27,MODIFIED,MTPASA,,upgrade-report,
